variable;variable_id;job_number;year
hourly_pay;R7235500;7;2001
hourly_pay;R7235600;8;2001
hours_worked;R7235601;1;2001
hours_worked;R7235602;2;2001
hours_worked;R7235603;3;2001
hours_worked;R7235604;4;2001
hours_worked;R7235605;5;2001
hours_worked;R7235606;6;2001
hours_worked;R7235607;7;2001
hours_worked;R7235608;8;2001
industry;S0527800;1;2002
industry;S0527900;2;2002
industry;S0528000;3;2002
industry;S0528100;4;2002
industry;S0528200;5;2002
industry;S0528300;6;2002
industry;S0528400;7;2002
industry;S0528500;8;2002
industry;S0528600;9;2002
industry;S0528700;10;2002
industry;S0528800;11;2002
job_satisfaction;S0829000;1;2002
job_satisfaction;S0829100;2;2002
job_satisfaction;S0829200;3;2002
job_satisfaction;S0829300;4;2002
job_satisfaction;S0829400;5;2002
job_satisfaction;S0829500;6;2002
job_satisfaction;S0829600;7;2002
job_satisfaction;S0829700;8;2002
job_satisfaction;S0829800;9;2002
job_satisfaction;S0829900;11;2002
start_month;S1521001;1;2002
start_year;S1521002;1;2002
start_month;S1521101;2;2002
start_year;S1521102;2;2002
start_month;S1521201;3;2002
start_year;S1521202;3;2002
start_month;S1521301;4;2002
start_year;S1521302;4;2002
start_month;S1521401;5;2002
start_year;S1521402;5;2002
start_month;S1521501;6;2002
start_year;S1521502;6;2002
start_month;S1521601;7;2002
start_year;S1521602;7;2002
start_month;S1521701;8;2002
start_year;S1521702;8;2002
start_month;S1521801;9;2002
start_year;S1521802;9;2002
start_month;S1521901;10;2002
start_year;S1521902;10;2002
start_month;S1522001;11;2002
start_year;S1522002;11;2002
stop_month;S1522101;1;2002
stop_year;S1522102;1;2002
stop_month;S1522201;2;2002
stop_year;S1522202;2;2002
stop_month;S1522301;3;2002
stop_year;S1522302;3;2002
stop_month;S1522401;4;2002
stop_year;S1522402;4;2002
stop_month;S1522501;5;2002
stop_year;S1522502;5;2002
stop_month;S1522601;6;2002
stop_year;S1522602;6;2002
stop_month;S1522701;7;2002
stop_year;S1522702;7;2002
stop_month;S1522801;8;2002
stop_year;S1522802;8;2002
stop_month;S1522901;9;2002
stop_year;S1522902;9;2002
stop_month;S1523001;10;2002
stop_year;S1523002;10;2002
stop_month;S1523101;11;2002
stop_year;S1523102;11;2002
employer_id;S1523200;1;2002
employer_id;S1523300;2;2002
employer_id;S1523400;3;2002
employer_id;S1523500;4;2002
employer_id;S1523600;5;2002
employer_id;S1523700;6;2002
employer_id;S1523800;7;2002
employer_id;S1523900;8;2002
employer_id;S1524000;9;2002
employer_id;S1524100;10;2002
employer_id;S1524200;11;2002
age;S1531400;;2002
hourly_pay;S1549400;1;2002
hourly_pay;S1549500;2;2002
hourly_pay;S1549600;3;2002
hourly_pay;S1549700;4;2002
hourly_pay;S1549800;5;2002
hourly_pay;S1549900;6;2002
hourly_pay;S1550000;7;2002
hourly_pay;S1550100;8;2002
hourly_pay;S1550200;9;2002
hourly_pay;S1550300;10;2002
hourly_pay;S1550400;11;2002
hours_worked;S1550401;1;2002
hours_worked;S1550402;2;2002
hours_worked;S1550403;3;2002
hours_worked;S1550404;4;2002
hours_worked;S1550405;5;2002
hours_worked;S1550406;6;2002
hours_worked;S1550407;7;2002
hours_worked;S1550408;8;2002
hours_worked;S1550409;9;2002
hours_worked;S1550410;10;2002
hours_worked;S1550411;11;2002
age;S2001000;;2003
hourly_pay;S2019400;1;2003
hourly_pay;S2019500;2;2003
hourly_pay;S2019600;3;2003
hourly_pay;S2019700;4;2003
hourly_pay;S2019800;5;2003
hourly_pay;S2019900;6;2003
hourly_pay;S2020000;7;2003
hourly_pay;S2020100;8;2003
hourly_pay;S2020200;9;2003
hourly_pay;S2020300;10;2003
hours_worked;S2020301;1;2003
hours_worked;S2020302;2;2003
hours_worked;S2020303;3;2003
hours_worked;S2020304;4;2003
hours_worked;S2020305;5;2003
hours_worked;S2020306;6;2003
hours_worked;S2020307;7;2003
hours_worked;S2020308;8;2003
hours_worked;S2020309;9;2003
hours_worked;S2020310;10;2003
industry;S2605700;1;2003
industry;S2605800;2;2003
industry;S2605900;3;2003
industry;S2606000;4;2003
industry;S2606100;5;2003
industry;S2606200;6;2003
industry;S2606300;7;2003
industry;S2606400;8;2003
industry;S2606500;9;2003
job_satisfaction;S2894400;1;2003
job_satisfaction;S2894500;2;2003
job_satisfaction;S2894600;3;2003
job_satisfaction;S2894700;4;2003
job_satisfaction;S2894800;5;2003
job_satisfaction;S2894900;6;2003
job_satisfaction;S2895000;7;2003
job_satisfaction;S2895100;8;2003
job_satisfaction;S2895200;9;2003
job_satisfaction;S2895300;10;2003
start_month;S3586901;1;2003
start_year;S3586902;1;2003
start_month;S3587001;2;2003
start_year;S3587002;2;2003
start_month;S3587101;3;2003
start_year;S3587102;3;2003
start_month;S3587201;4;2003
start_year;S3587202;4;2003
start_month;S3587301;5;2003
start_year;S3587302;5;2003
start_month;S3587401;6;2003
start_year;S3587402;6;2003
start_month;S3587501;7;2003
start_year;S3587502;7;2003
start_month;S3587601;8;2003
start_year;S3587602;8;2003
start_month;S3587701;9;2003
start_year;S3587702;9;2003
start_month;S3587801;10;2003
start_year;S3587802;10;2003
stop_month;S3587901;1;2003
stop_year;S3587902;1;2003
stop_month;S3588001;2;2003
stop_year;S3588002;2;2003
stop_month;S3588101;3;2003
stop_year;S3588102;3;2003
stop_month;S3588201;4;2003
stop_year;S3588202;4;2003
stop_month;S3588301;5;2003
stop_year;S3588302;5;2003
stop_month;S3588401;6;2003
stop_year;S3588402;6;2003
stop_month;S3588501;7;2003
stop_year;S3588502;7;2003
stop_month;S3588601;8;2003
stop_year;S3588602;8;2003
stop_month;S3588701;9;2003
stop_year;S3588702;9;2003
stop_month;S3588801;10;2003
stop_year;S3588802;10;2003
employer_id;S3588900;1;2003
employer_id;S3589000;2;2003
employer_id;S3589100;3;2003
employer_id;S3589200;4;2003
employer_id;S3589300;5;2003
employer_id;S3589400;6;2003
employer_id;S3589500;7;2003
employer_id;S3589600;8;2003
employer_id;S3589700;9;2003
employer_id;S3589800;10;2003
age;S3801100;;2004
hourly_pay;S3820900;1;2004
hourly_pay;S3821000;2;2004
hourly_pay;S3821100;3;2004
hourly_pay;S3821200;4;2004
hourly_pay;S3821300;5;2004
hourly_pay;S3821400;6;2004
hourly_pay;S3821500;7;2004
hours_worked;S3821501;1;2004
hours_worked;S3821502;2;2004
hours_worked;S3821503;3;2004
hours_worked;S3821504;4;2004
hours_worked;S3821505;5;2004
hours_worked;S3821506;6;2004
hours_worked;S3821507;7;2004
industry;S4340700;1;2004
industry;S4340800;2;2004
industry;S4340900;3;2004
industry;S4341000;4;2004
industry;S4341100;5;2004
industry;S4341200;6;2004
industry;S4341300;7;2004
job_satisfaction;S4602900;1;2004
job_satisfaction;S4603000;2;2004
job_satisfaction;S4603100;3;2004
job_satisfaction;S4603200;4;2004
job_satisfaction;S4603300;5;2004
job_satisfaction;S4603400;6;2004
job_satisfaction;S4603500;7;2004
stop_month;S5113901;1;2004
stop_year;S5113902;1;2004
stop_month;S5114001;2;2004
stop_year;S5114002;2;2004
stop_month;S5114101;3;2004
stop_year;S5114102;3;2004
stop_month;S5114201;4;2004
stop_year;S5114202;4;2004
stop_month;S5114301;5;2004
stop_year;S5114302;5;2004
stop_month;S5114401;6;2004
stop_year;S5114402;6;2004
stop_month;S5114501;7;2004
stop_year;S5114502;7;2004
start_month;S5128901;1;2004
start_year;S5128902;1;2004
start_month;S5129001;2;2004
start_year;S5129002;2;2004
start_month;S5129101;3;2004
start_year;S5129102;3;2004
start_month;S5129201;4;2004
start_year;S5129202;4;2004
start_month;S5129301;5;2004
start_year;S5129302;5;2004
start_month;S5129401;6;2004
start_year;S5129402;6;2004
start_month;S5129501;7;2004
start_year;S5129502;7;2004
employer_id;S5146300;1;2004
employer_id;S5146400;2;2004
employer_id;S5146500;3;2004
employer_id;S5146600;4;2004
employer_id;S5146700;5;2004
employer_id;S5146800;6;2004
employer_id;S5146900;7;2004
age;S5401000;;2005
hourly_pay;S5421000;1;2005
hourly_pay;S5421100;2;2005
hourly_pay;S5421200;3;2005
hourly_pay;S5421300;4;2005
hourly_pay;S5421400;5;2005
hourly_pay;S5421500;6;2005
hourly_pay;S5421600;7;2005
hourly_pay;S5421700;8;2005
hourly_pay;S5421800;9;2005
hours_worked;S5421801;1;2005
hours_worked;S5421802;2;2005
hours_worked;S5421803;3;2005
hours_worked;S5421804;4;2005
hours_worked;S5421805;5;2005
hours_worked;S5421806;6;2005
hours_worked;S5421807;7;2005
hours_worked;S5421808;8;2005
hours_worked;S5421809;9;2005
industry;S5931500;1;2005
industry;S5931600;2;2005
industry;S5931700;3;2005
industry;S5931800;4;2005
industry;S5931900;5;2005
industry;S5932000;6;2005
industry;S5932100;7;2005
industry;S5932200;8;2005
job_satisfaction;S6222100;1;2005
job_satisfaction;S6222200;2;2005
job_satisfaction;S6222300;3;2005
job_satisfaction;S6222400;4;2005
job_satisfaction;S6222500;5;2005
job_satisfaction;S6222600;6;2005
job_satisfaction;S6222700;7;2005
job_satisfaction;S6222800;8;2005
job_satisfaction;S6222900;9;2005
stop_month;S6862301;1;2005
stop_year;S6862302;1;2005
stop_month;S6862401;2;2005
stop_year;S6862402;2;2005
stop_month;S6862501;3;2005
stop_year;S6862502;3;2005
stop_month;S6862601;4;2005
stop_year;S6862602;4;2005
stop_month;S6862701;5;2005
stop_year;S6862702;5;2005
stop_month;S6862801;6;2005
stop_year;S6862802;6;2005
stop_month;S6862901;7;2005
stop_year;S6862902;7;2005
stop_month;S6863001;8;2005
stop_year;S6863002;8;2005
stop_month;S6863101;9;2005
stop_year;S6863102;9;2005
start_month;S6880801;1;2005
start_year;S6880802;1;2005
start_month;S6880901;2;2005
start_year;S6880902;2;2005
start_month;S6881001;3;2005
start_year;S6881002;3;2005
start_month;S6881101;4;2005
start_year;S6881102;4;2005
start_month;S6881201;5;2005
start_year;S6881202;5;2005
start_month;S6881301;6;2005
start_year;S6881302;6;2005
start_month;S6881401;7;2005
start_year;S6881402;7;2005
start_month;S6881501;8;2005
start_year;S6881502;8;2005
start_month;S6881601;9;2005
start_year;S6881602;9;2005
employer_id;S6912700;1;2005
employer_id;S6912800;2;2005
employer_id;S6912900;3;2005
employer_id;S6913000;4;2005
employer_id;S6913100;5;2005
employer_id;S6913200;6;2005
employer_id;S6913300;7;2005
employer_id;S6913400;8;2005
employer_id;S6913500;9;2005
age;S7501200;;2006
hourly_pay;S7522200;1;2006
hourly_pay;S7522300;2;2006
hourly_pay;S7522400;3;2006
hourly_pay;S7522500;4;2006
hourly_pay;S7522600;5;2006
hourly_pay;S7522700;6;2006
hourly_pay;S7522800;7;2006
hourly_pay;S7522900;8;2006
hourly_pay;S7523000;9;2006
hours_worked;S7523100;1;2006
hours_worked;S7523200;2;2006
hours_worked;S7523300;3;2006
hours_worked;S7523400;4;2006
hours_worked;S7523500;5;2006
hours_worked;S7523600;6;2006
hours_worked;S7523700;7;2006
hours_worked;S7523800;8;2006
hours_worked;S7523900;9;2006
industry;S8009500;1;2006
industry;S8009600;2;2006
industry;S8009700;3;2006
industry;S8009800;4;2006
industry;S8009900;5;2006
industry;S8010000;6;2006
industry;S8010100;7;2006
industry;S8010200;8;2006
industry;S8010300;9;2006
job_satisfaction;S8241400;1;2006
job_satisfaction;S8241500;2;2006
job_satisfaction;S8241600;3;2006
job_satisfaction;S8241700;4;2006
job_satisfaction;S8241800;5;2006
job_satisfaction;S8241900;6;2006
job_satisfaction;S8242000;7;2006
job_satisfaction;S8242100;9;2006
stop_month;S8844101;1;2006
stop_year;S8844102;1;2006
stop_month;S8844201;2;2006
stop_year;S8844202;2;2006
stop_month;S8844301;3;2006
stop_year;S8844302;3;2006
stop_month;S8844401;4;2006
stop_year;S8844402;4;2006
stop_month;S8844501;5;2006
stop_year;S8844502;5;2006
stop_month;S8844601;6;2006
stop_year;S8844602;6;2006
stop_month;S8844701;7;2006
stop_year;S8844702;7;2006
stop_month;S8844801;8;2006
stop_year;S8844802;8;2006
stop_month;S8844901;9;2006
stop_year;S8844902;9;2006
start_month;S8862201;1;2006
start_year;S8862202;1;2006
start_month;S8862301;2;2006
start_year;S8862302;2;2006
start_month;S8862401;3;2006
start_year;S8862402;3;2006
start_month;S8862501;4;2006
start_year;S8862502;4;2006
start_month;S8862601;5;2006
start_year;S8862602;5;2006
start_month;S8862701;6;2006
start_year;S8862702;6;2006
start_month;S8862801;7;2006
start_year;S8862802;7;2006
start_month;S8862901;8;2006
start_year;S8862902;8;2006
start_month;S8863001;9;2006
start_year;S8863002;9;2006
employer_id;S8890800;1;2006
employer_id;S8890900;2;2006
employer_id;S8891000;3;2006
employer_id;S8891100;4;2006
employer_id;S8891200;5;2006
employer_id;S8891300;6;2006
employer_id;S8891400;7;2006
employer_id;S8891500;8;2006
employer_id;S8891600;9;2006
age;T0008500;;2007
hourly_pay;T0022800;1;2007
hourly_pay;T0022900;2;2007
hourly_pay;T0023000;3;2007
hourly_pay;T0023100;4;2007
hourly_pay;T0023200;5;2007
hourly_pay;T0023300;6;2007
hourly_pay;T0023400;7;2007
hourly_pay;T0023500;8;2007
hours_worked;T0023600;1;2007
hours_worked;T0023700;2;2007
hours_worked;T0023800;3;2007
hours_worked;T0023900;4;2007
hours_worked;T0024000;5;2007
hours_worked;T0024100;6;2007
hours_worked;T0024200;7;2007
hours_worked;T0024300;8;2007
industry;T0411500;1;2007
industry;T0411600;2;2007
industry;T0411700;3;2007
industry;T0411800;4;2007
industry;T0411900;5;2007
industry;T0412000;6;2007
industry;T0412100;7;2007
industry;T0412200;8;2007
job_satisfaction;T0653200;1;2007
job_satisfaction;T0653300;2;2007
job_satisfaction;T0653400;3;2007
job_satisfaction;T0653500;4;2007
job_satisfaction;T0653600;5;2007
job_satisfaction;T0653700;6;2007
job_satisfaction;T0653800;7;2007
job_satisfaction;T0653900;8;2007
stop_month;T1259501;1;2007
stop_year;T1259502;1;2007
stop_month;T1259601;2;2007
stop_year;T1259602;2;2007
stop_month;T1259701;3;2007
stop_year;T1259702;3;2007
stop_month;T1259801;4;2007
stop_year;T1259802;4;2007
stop_month;T1259901;5;2007
stop_year;T1259902;5;2007
stop_month;T1260001;6;2007
stop_year;T1260002;6;2007
stop_month;T1260101;7;2007
stop_year;T1260102;7;2007
stop_month;T1260201;8;2007
stop_year;T1260202;8;2007
start_month;T1277401;1;2007
start_year;T1277402;1;2007
start_month;T1277501;2;2007
start_year;T1277502;2;2007
start_month;T1277601;3;2007
start_year;T1277602;3;2007
start_month;T1277701;4;2007
start_year;T1277702;4;2007
start_month;T1277801;5;2007
start_year;T1277802;5;2007
start_month;T1277901;6;2007
start_year;T1277902;6;2007
start_month;T1278001;7;2007
start_year;T1278002;7;2007
start_month;T1278101;8;2007
start_year;T1278102;8;2007
employer_id;T1305300;1;2007
employer_id;T1305400;2;2007
employer_id;T1305500;3;2007
employer_id;T1305600;4;2007
employer_id;T1305700;5;2007
employer_id;T1305800;6;2007
employer_id;T1305900;7;2007
employer_id;T1306000;8;2007
age;T2011100;;2008
hourly_pay;T2017700;1;2008
hourly_pay;T2017800;2;2008
hourly_pay;T2017900;3;2008
hourly_pay;T2018000;4;2008
hourly_pay;T2018100;5;2008
hourly_pay;T2018200;6;2008
hourly_pay;T2018300;7;2008
hourly_pay;T2018400;8;2008
hours_worked;T2018500;1;2008
hours_worked;T2018600;2;2008
hours_worked;T2018700;3;2008
hours_worked;T2018800;4;2008
hours_worked;T2018900;5;2008
hours_worked;T2019000;6;2008
hours_worked;T2019100;7;2008
hours_worked;T2019200;8;2008
industry;T2440600;1;2008
industry;T2440700;2;2008
industry;T2440800;3;2008
industry;T2440900;4;2008
industry;T2441000;5;2008
industry;T2441100;6;2008
industry;T2441200;7;2008
industry;T2441300;8;2008
job_satisfaction;T2692700;1;2008
job_satisfaction;T2692800;2;2008
job_satisfaction;T2692900;3;2008
job_satisfaction;T2693000;4;2008
job_satisfaction;T2693100;5;2008
job_satisfaction;T2693200;6;2008
job_satisfaction;T2693300;7;2008
job_satisfaction;T2693400;8;2008
stop_month;T3346101;1;2008
stop_year;T3346102;1;2008
stop_month;T3346201;2;2008
stop_year;T3346202;2;2008
stop_month;T3346301;3;2008
stop_year;T3346302;3;2008
stop_month;T3346401;4;2008
stop_year;T3346402;4;2008
stop_month;T3346501;5;2008
stop_year;T3346502;5;2008
stop_month;T3346601;6;2008
stop_year;T3346602;6;2008
stop_month;T3346701;7;2008
stop_year;T3346702;7;2008
stop_month;T3346801;8;2008
stop_year;T3346802;8;2008
start_month;T3364901;1;2008
start_year;T3364902;1;2008
start_month;T3365001;2;2008
