variable_id,name,variable,description,year,job_number
R0839900,QES-52A.01,job_hours_per_week,HOURS PER WEEK WORKED JOB #01,1982,1
R0840700,COWALL-EMP.01,job_sector,CLASS OF WORKER JOB #01,1982,1
R0841010,HRP1,job_payment,HOURLY RATE OF PAY JOB #01,1982,1
R0846910,TENURE2,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #02,1982,2
R0853000,QES-52A.02,job_hours_per_week,HOURS PER WEEK WORKED JOB #02,1982,2
R0853800,COWALL-EMP.02,job_sector,CLASS OF WORKER JOB #02,1982,2
R0854110,HRP2,job_payment,HOURLY RATE OF PAY JOB #02,1982,2
R0860010,TENURE3,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #03,1982,3
R0866100,QES-52A.03,job_hours_per_week,HOURS PER WEEK WORKED JOB #03,1982,3
R0866900,COWALL-EMP.03,job_sector,CLASS OF WORKER JOB #03,1982,3
R0867210,HRP3,job_payment,HOURLY RATE OF PAY JOB #03,1982,3
R0873110,TENURE4,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #04,1982,4
R0879200,QES-52A.04,job_hours_per_week,HOURS PER WEEK WORKED JOB #04,1982,4
R0880000,COWALL-EMP.04,job_sector,CLASS OF WORKER JOB #04,1982,4
R0880310,HRP4,job_payment,HOURLY RATE OF PAY JOB #04,1982,4
R0886210,TENURE5,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #05,1982,5
R0892300,QES-52A.05,job_hours_per_week,HOURS PER WEEK WORKED JOB #05,1982,5
R0893100,COWALL-EMP.05,job_sector,CLASS OF WORKER JOB #05,1982,5
R0893410,HRP5,job_payment,HOURLY RATE OF PAY JOB #05,1982,5
R0898310,AGEATINT,age_at_interview,AGE OF R AT INTERVIEW DATE,1982,NA
R0946500,CPS-QES-89,job_satisfaction_most_recent,"GLOBAL JOB SATISFACTION, CURRENT JOB/MOST RECENT JOB",1983,NA
R1081010,TENURE1,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #01,1983,1
R1087300,QES-52A.01,job_hours_per_week,HOURS PER WEEK WORKED JOB #01,1983,1
R1087900,COWALL-EMP.01,job_sector,CLASS OF WORKER JOB #01,1983,1
R1088210,HRP1,job_payment,HOURLY RATE OF PAY JOB #01,1983,1
R1094210,TENURE2,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #02,1983,2
R1100500,QES-52A.02,job_hours_per_week,HOURS PER WEEK WORKED JOB #02,1983,2
R1101100,COWALL-EMP.02,job_sector,CLASS OF WORKER JOB #02,1983,2
R1101410,HRP2,job_payment,HOURLY RATE OF PAY JOB #02,1983,2
R1107410,TENURE3,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #03,1983,3
R1113700,QES-52A.03,job_hours_per_week,HOURS PER WEEK WORKED JOB #03,1983,3
R1114300,COWALL-EMP.03,job_sector,CLASS OF WORKER JOB #03,1983,3
R1114610,HRP3,job_payment,HOURLY RATE OF PAY JOB #03,1983,3
R1120610,TENURE4,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #04,1983,4
R1126900,QES-52A.04,job_hours_per_week,HOURS PER WEEK WORKED JOB #04,1983,4
R1127500,COWALL-EMP.04,job_sector,CLASS OF WORKER JOB #04,1983,4
R1127810,HRP4,job_payment,HOURLY RATE OF PAY JOB #04,1983,4
R1133810,TENURE5,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #05,1983,5
R1140100,QES-52A.05,job_hours_per_week,HOURS PER WEEK WORKED JOB #05,1983,5
R1140700,COWALL-EMP.05,job_sector,CLASS OF WORKER JOB #05,1983,5
R1141010,HRP5,job_payment,HOURLY RATE OF PAY JOB #05,1983,5
R1145110,AGEATINT,age_at_interview,AGE OF R AT INTERVIEW DATE,1983,NA
R1256900,CPS-QES-89,job_satisfaction_most_recent,"GLOBAL JOB SATISFACTION, CURRENT JOB/MOST RECENT JOB",1984,NA
R1456710,TENURE1,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #01,1984,1
R1463000,QES-52A.01,job_hours_per_week,HOURS PER WEEK WORKED JOB #01,1984,1
R1463600,COWALL-EMP.01,job_sector,CLASS OF WORKER JOB #01,1984,1
R1463910,HRP1,job_payment,HOURLY RATE OF PAY JOB #01,1984,1
R1469810,TENURE2,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #02,1984,2
R1476100,QES-52A.02,job_hours_per_week,HOURS PER WEEK WORKED JOB #02,1984,2
R1476700,COWALL-EMP.02,job_sector,CLASS OF WORKER JOB #02,1984,2
R1477010,HRP2,job_payment,HOURLY RATE OF PAY JOB #02,1984,2
R1482910,TENURE3,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #03,1984,3
R1489200,QES-52A.03,job_hours_per_week,HOURS PER WEEK WORKED JOB #03,1984,3
R1489800,COWALL-EMP.03,job_sector,CLASS OF WORKER JOB #03,1984,3
R1490110,HRP3,job_payment,HOURLY RATE OF PAY JOB #03,1984,3
R1496010,TENURE4,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #04,1984,4
R1502300,QES-52A.04,job_hours_per_week,HOURS PER WEEK WORKED JOB #04,1984,4
R1502900,COWALL-EMP.04,job_sector,CLASS OF WORKER JOB #04,1984,4
R1503210,HRP4,job_payment,HOURLY RATE OF PAY JOB #04,1984,4
R1509110,TENURE5,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #05,1984,5
R1515400,QES-52A.05,job_hours_per_week,HOURS PER WEEK WORKED JOB #05,1984,5
R1516000,COWALL-EMP.05,job_sector,CLASS OF WORKER JOB #05,1984,5
R1516310,HRP5,job_payment,HOURLY RATE OF PAY JOB #05,1984,5
R1520310,AGEATINT,age_at_interview,AGE OF R AT INTERVIEW DATE,1984,NA
R1652000,CPS-QES-89,job_satisfaction_most_recent,"GLOBAL JOB SATISFACTION, CURRENT JOB/MOST RECENT JOB",1985,NA
R1803510,TENURE1,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #01,1985,1
R1809800,QES-52A.01,job_hours_per_week,HOURS PER WEEK WORKED JOB #01,1985,1
R1810400,COWALL-EMP.01,job_sector,CLASS OF WORKER JOB #01,1985,1
R1810710,HRP1,job_payment,HOURLY RATE OF PAY JOB #01,1985,1
R1816210,TENURE2,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #02,1985,2
R1822500,QES-52A.02,job_hours_per_week,HOURS PER WEEK WORKED JOB #02,1985,2
R1823100,COWALL-EMP.02,job_sector,CLASS OF WORKER JOB #02,1985,2
R1823410,HRP2,job_payment,HOURLY RATE OF PAY JOB #02,1985,2
R1828910,TENURE3,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #03,1985,3
R1835200,QES-52A.03,job_hours_per_week,HOURS PER WEEK WORKED JOB #03,1985,3
R1835800,COWALL-EMP.03,job_sector,CLASS OF WORKER JOB #03,1985,3
R1836110,HRP3,job_payment,HOURLY RATE OF PAY JOB #03,1985,3
R1841610,TENURE4,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #04,1985,4
R1847900,QES-52A.04,job_hours_per_week,HOURS PER WEEK WORKED JOB #04,1985,4
R1848500,COWALL-EMP.04,job_sector,CLASS OF WORKER JOB #04,1985,4
R1848810,HRP4,job_payment,HOURLY RATE OF PAY JOB #04,1985,4
R1854310,TENURE5,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #05,1985,5
R1860600,QES-52A.05,job_hours_per_week,HOURS PER WEEK WORKED JOB #05,1985,5
R1861200,COWALL-EMP.05,job_sector,CLASS OF WORKER JOB #05,1985,5
R1861510,HRP5,job_payment,HOURLY RATE OF PAY JOB #05,1985,5
R1891010,AGEATINT,age_at_interview,AGE OF R AT INTERVIEW DATE,1985,NA
R1925100,CPS-QES-89,job_satisfaction_most_recent,"GLOBAL JOB SATISFACTION, CURRENT JOB/MOST RECENT JOB",1986,NA
R2165110,TENURE1,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #01,1986,1
R2171500,QES-52A.01,job_hours_per_week,HOURS PER WEEK WORKED JOB #01,1986,1
R2172100,COWALL-EMP.01,job_sector,CLASS OF WORKER JOB #01,1986,1
R2172410,HRP1,job_payment,HOURLY RATE OF PAY JOB #01,1986,1
R2178710,TENURE2,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #02,1986,2
R2185100,QES-52A.02,job_hours_per_week,HOURS PER WEEK WORKED JOB #02,1986,2
R2185700,COWALL-EMP.02,job_sector,CLASS OF WORKER JOB #02,1986,2
R2186010,HRP2,job_payment,HOURLY RATE OF PAY JOB #02,1986,2
R2192310,TENURE3,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #03,1986,3
R2198700,QES-52A.03,job_hours_per_week,HOURS PER WEEK WORKED JOB #03,1986,3
R2199300,COWALL-EMP.03,job_sector,CLASS OF WORKER JOB #03,1986,3
R2199610,HRP3,job_payment,HOURLY RATE OF PAY JOB #03,1986,3
R2205910,TENURE4,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #04,1986,4
R2212300,QES-52A.04,job_hours_per_week,HOURS PER WEEK WORKED JOB #04,1986,4
R2212900,COWALL-EMP.04,job_sector,CLASS OF WORKER JOB #04,1986,4
R2213210,HRP4,job_payment,HOURLY RATE OF PAY JOB #04,1986,4
R2219510,TENURE5,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #05,1986,5
R2225900,QES-52A.05,job_hours_per_week,HOURS PER WEEK WORKED JOB #05,1986,5
R2226500,COWALL-EMP.05,job_sector,CLASS OF WORKER JOB #05,1986,5
R2226810,HRP5,job_payment,HOURLY RATE OF PAY JOB #05,1986,5
R2258110,AGEATINT,age_at_interview,AGE OF R AT INTERVIEW DATE,1986,NA
R2319900,CPS-QES-89,job_satisfaction_most_recent,"GLOBAL JOB SATISFACTION, CURRENT JOB/MOST RECENT JOB",1987,NA
R2372510,TENURE1,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #01,1987,1
R2376300,QES-52A.01,job_hours_per_week,HOURS PER WEEK WORKED JOB #01,1987,1
R2376900,COWALL-EMP.01,job_sector,CLASS OF WORKER JOB #01,1987,1
R2377210,HRP1,job_payment,HOURLY RATE OF PAY JOB #01,1987,1
R2383810,TENURE2,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #02,1987,2
R2387600,QES-52A.02,job_hours_per_week,HOURS PER WEEK WORKED JOB #02,1987,2
R2388200,COWALL-EMP.02,job_sector,CLASS OF WORKER JOB #02,1987,2
R2388510,HRP2,job_payment,HOURLY RATE OF PAY JOB #02,1987,2
R2395110,TENURE3,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #03,1987,3
R2398900,QES-52A.03,job_hours_per_week,HOURS PER WEEK WORKED JOB #03,1987,3
R2399500,COWALL-EMP.03,job_sector,CLASS OF WORKER JOB #03,1987,3
R2399810,HRP3,job_payment,HOURLY RATE OF PAY JOB #03,1987,3
R2406410,TENURE4,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #04,1987,4
R2410200,QES-52A.04,job_hours_per_week,HOURS PER WEEK WORKED JOB #04,1987,4
R2410800,COWALL-EMP.04,job_sector,CLASS OF WORKER JOB #04,1987,4
R2411110,HRP4,job_payment,HOURLY RATE OF PAY JOB #04,1987,4
R2417710,TENURE5,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #05,1987,5
R2421500,QES-52A.05,job_hours_per_week,HOURS PER WEEK WORKED JOB #05,1987,5
R2422100,COWALL-EMP.05,job_sector,CLASS OF WORKER JOB #05,1987,5
R2422410,HRP5,job_payment,HOURLY RATE OF PAY JOB #05,1987,5
R2445510,AGEATINT,age_at_interview,AGE OF R AT INTERVIEW DATE,1987,NA
R2532900,CPS-QES-89,job_satisfaction_most_recent,"GLOBAL JOB SATISFACTION, CURRENT JOB/MOST RECENT JOB",1988,NA
R2763410,TENURE1,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #01,1988,1
R2770900,QES-52A.01,job_hours_per_week,HOURS PER WEEK WORKED JOB #01,1988,1
R2771700,COWALL-EMP.01,job_sector,CLASS OF WORKER JOB #01,1988,1
R2772210,HRP1,job_payment,HOURLY RATE OF PAY JOB #01,1988,1
R2776310,TENURE2,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #02,1988,2
R2783800,QES-52A.02,job_hours_per_week,HOURS PER WEEK WORKED JOB #02,1988,2
R2784600,COWALL-EMP.02,job_sector,CLASS OF WORKER JOB #02,1988,2
R2785110,HRP2,job_payment,HOURLY RATE OF PAY JOB #02,1988,2
R2789210,TENURE3,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #03,1988,3
R2796700,QES-52A.03,job_hours_per_week,HOURS PER WEEK WORKED JOB #03,1988,3
R2797500,COWALL-EMP.03,job_sector,CLASS OF WORKER JOB #03,1988,3
R2798010,HRP3,job_payment,HOURLY RATE OF PAY JOB #03,1988,3
R2802110,TENURE4,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #04,1988,4
R2809600,QES-52A.04,job_hours_per_week,HOURS PER WEEK WORKED JOB #04,1988,4
R2810400,COWALL-EMP.04,job_sector,CLASS OF WORKER JOB #04,1988,4
R2810910,HRP4,job_payment,HOURLY RATE OF PAY JOB #04,1988,4
R2815010,TENURE5,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #05,1988,5
R2822500,QES-52A.05,job_hours_per_week,HOURS PER WEEK WORKED JOB #05,1988,5
R2823300,COWALL-EMP.05,job_sector,CLASS OF WORKER JOB #05,1988,5
R2823810,HRP5,job_payment,HOURLY RATE OF PAY JOB #05,1988,5
R2871300,AGEATINT,age_at_interview,AGE OF R AT INTERVIEW DATE,1988,NA
R2930500,CPS-QES-89,job_satisfaction_most_recent,"GLOBAL JOB SATISFACTION, CURRENT JOB/MOST RECENT JOB",1989,NA
R3005210,TENURE1,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #01,1989,1
R3012700,QES-52A.01,job_hours_per_week,HOURS PER WEEK WORKED JOB #01,1989,1
R3013500,COWALL-EMP.01,job_sector,CLASS OF WORKER JOB #01,1989,1
R3014010,HRP1,job_payment,HOURLY RATE OF PAY JOB #01,1989,1
R3018310,TENURE2,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #02,1989,2
R3025800,QES-52A.02,job_hours_per_week,HOURS PER WEEK WORKED JOB #02,1989,2
R3026600,COWALL-EMP.02,job_sector,CLASS OF WORKER JOB #02,1989,2
R3027110,HRP2,job_payment,HOURLY RATE OF PAY JOB #02,1989,2
R3031410,TENURE3,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #03,1989,3
R3038900,QES-52A.03,job_hours_per_week,HOURS PER WEEK WORKED JOB #03,1989,3
R3039700,COWALL-EMP.03,job_sector,CLASS OF WORKER JOB #03,1989,3
R3040210,HRP3,job_payment,HOURLY RATE OF PAY JOB #03,1989,3
R3044510,TENURE4,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #04,1989,4
R3052000,QES-52A.04,job_hours_per_week,HOURS PER WEEK WORKED JOB #04,1989,4
R3052800,COWALL-EMP.04,job_sector,CLASS OF WORKER JOB #04,1989,4
R3053310,HRP4,job_payment,HOURLY RATE OF PAY JOB #04,1989,4
R3057610,TENURE5,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #05,1989,5
R3065100,QES-52A.05,job_hours_per_week,HOURS PER WEEK WORKED JOB #05,1989,5
R3065900,COWALL-EMP.05,job_sector,CLASS OF WORKER JOB #05,1989,5
R3066410,HRP5,job_payment,HOURLY RATE OF PAY JOB #05,1989,5
R3075000,AGEATINT,age_at_interview,AGE OF R AT INTERVIEW DATE,1989,NA
R3136600,CPS-QES-89,job_satisfaction_most_recent,"GLOBAL JOB SATISFACTION, CURRENT JOB/MOST RECENT JOB",1990,NA
R3332610,TENURE1,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #01,1990,1
R3340100,QES-52A.01,job_hours_per_week,HOURS PER WEEK WORKED JOB #01,1990,1
R3340900,COWALL-EMP.01,job_sector,CLASS OF WORKER JOB #01,1990,1
R3341500,HRP1,job_payment,HOURLY RATE OF PAY JOB #01,1990,1
R3346610,TENURE2,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #02,1990,2
R3354100,QES-52A.02,job_hours_per_week,HOURS PER WEEK WORKED JOB #02,1990,2
R3354900,COWALL-EMP.02,job_sector,CLASS OF WORKER JOB #02,1990,2
R3355500,HRP2,job_payment,HOURLY RATE OF PAY JOB #02,1990,2
R3360610,TENURE3,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #03,1990,3
R3368100,QES-52A.03,job_hours_per_week,HOURS PER WEEK WORKED JOB #03,1990,3
R3368900,COWALL-EMP.03,job_sector,CLASS OF WORKER JOB #03,1990,3
R3369500,HRP3,job_payment,HOURLY RATE OF PAY JOB #03,1990,3
R3374610,TENURE4,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #04,1990,4
R3382100,QES-52A.04,job_hours_per_week,HOURS PER WEEK WORKED JOB #04,1990,4
R3382900,COWALL-EMP.04,job_sector,CLASS OF WORKER JOB #04,1990,4
R3383500,HRP4,job_payment,HOURLY RATE OF PAY JOB #04,1990,4
R3388610,TENURE5,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #05,1990,5
R3396100,QES-52A.05,job_hours_per_week,HOURS PER WEEK WORKED JOB #05,1990,5
R3396900,COWALL-EMP.05,job_sector,CLASS OF WORKER JOB #05,1990,5
R3397500,HRP5,job_payment,HOURLY RATE OF PAY JOB #05,1990,5
R3401700,AGEATINT,age_at_interview,AGE OF R AT INTERVIEW DATE,1990,NA
R3527000,CPS-QES-89,job_satisfaction_most_recent,"GLOBAL JOB SATISFACTION, CURRENT JOB/MOST RECENT JOB",1991,NA
R3597610,TENURE1,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #01,1991,1
R3604400,QES-52A.01,job_hours_per_week,HOURS PER WEEK WORKED JOB #01,1991,1
R3605200,COWALL-EMP.01,job_sector,CLASS OF WORKER JOB #01,1991,1
R3605800,HRP1,job_payment,HOURLY RATE OF PAY JOB #01,1991,1
R3609710,TENURE2,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #02,1991,2
R3616500,QES-52A.02,job_hours_per_week,HOURS PER WEEK WORKED JOB #02,1991,2
R3617300,COWALL-EMP.02,job_sector,CLASS OF WORKER JOB #02,1991,2
R3617900,HRP2,job_payment,HOURLY RATE OF PAY JOB #02,1991,2
R3621810,TENURE3,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #03,1991,3
R3628600,QES-52A.03,job_hours_per_week,HOURS PER WEEK WORKED JOB #03,1991,3
R3629400,COWALL-EMP.03,job_sector,CLASS OF WORKER JOB #03,1991,3
R3630000,HRP3,job_payment,HOURLY RATE OF PAY JOB #03,1991,3
